,Year,Round,Status,statusId,Count
397,2012,17,+2 Laps,12,2
398,2012,17,Retired,31,1
399,2012,18,Finished,1,17
400,2012,18,Collision,4,5
401,2012,18,Electrical,10,1
402,2012,18,Retired,31,1
403,2012,19,Finished,1,13
404,2012,19,+1 Lap,11,6
405,2012,19,+2 Laps,12,3
406,2012,19,Suspension,22,1
407,2012,19,Alternator,91,1
408,2012,20,Finished,1,9
409,2012,20,Accident,3,2
410,2012,20,Collision,4,4
411,2012,20,+1 Lap,11,7
412,2012,20,+2 Laps,12,2
413,2013,1,Finished,1,12
414,2013,1,Hydraulics,9,1
415,2013,1,Electrical,10,1
416,2013,1,+1 Lap,11,3
417,2013,1,+2 Laps,12,3
418,2013,1,Spun off,20,1
419,2013,1,Fuel system,69,1
420,2013,2,Finished,1,11
421,2013,2,Collision,4,1
422,2013,2,+1 Lap,11,4
423,2013,2,+2 Laps,12,1
424,2013,2,Retired,31,2
425,2013,2,Withdrew,54,1
426,2013,2,Wheel nut,61,2
427,2013,3,Finished,1,14
428,2013,3,Collision,4,2
429,2013,3,+1 Lap,11,4
430,2013,3,Suspension,22,1
431,2013,3,Wheel,36,1
432,2013,4,Finished,1,15
433,2013,4,+1 Lap,11,5
434,2013,4,+2 Laps,12,1
435,2013,4,Puncture,29,1
436,2013,5,Finished,1,9
437,2013,5,Accident,3,1
438,2013,5,+1 Lap,11,8
439,2013,5,+2 Laps,12,2
440,2013,5,Suspension,22,1
441,2013,5,Wheel,36,1
442,2013,6,Finished,1,15
443,2013,6,Accident,3,1
444,2013,6,Collision,4,3
445,2013,6,Gearbox,6,1
446,2013,6,Suspension,22,1
447,2013,6,Brakes,23,1
448,2013,7,Finished,1,5
449,2013,7,Accident,3,1
450,2013,7,Collision,4,2
451,2013,7,+1 Lap,11,9
452,2013,7,+2 Laps,12,3
453,2013,7,+3 Laps,13,2
454,2013,8,Finished,1,18
455,2013,8,Gearbox,6,1
456,2013,8,Tyre,27,1
457,2013,8,Retired,31,1
458,2013,8,Wheel,36,1
459,2013,9,Finished,1,15
460,2013,9,Engine,5,1
461,2013,9,Hydraulics,9,1
462,2013,9,+1 Lap,11,4
463,2013,9,Spun off,20,1
464,2013,10,Finished,1,8
465,2013,10,Engine,5,1
466,2013,10,Transmission,7,1
467,2013,10,Hydraulics,9,3
468,2013,10,+1 Lap,11,5
469,2013,10,+2 Laps,12,2
470,2013,10,+3 Laps,13,2
471,2013,11,Finished,1,15
472,2013,11,Collision,4,1
473,2013,11,+1 Lap,11,3
474,2013,11,+2 Laps,12,1
475,2013,11,Brakes,23,1
476,2013,11,Oil leak,44,1
477,2013,12,Finished,1,15
478,2013,12,Accident,3,1
479,2013,12,Transmission,7,1
480,2013,12,+1 Lap,11,5
481,2013,13,Finished,1,14
482,2013,13,Accident,3,2
483,2013,13,+1 Lap,11,4
484,2013,13,Water pressure,34,1
485,2013,13,Pneumatics,63,1
486,2013,14,Finished,1,17
487,2013,14,Collision,4,2
488,2013,14,+2 Laps,12,1
489,2013,14,+3 Laps,13,1
490,2013,14,Spun off,20,1
491,2013,15,Finished,1,11
492,2013,15,Accident,3,2
493,2013,15,+1 Lap,11,8
494,2013,15,Puncture,29,1
495,2013,16,Finished,1,12
496,2013,16,Collision,4,1
497,2013,16,Hydraulics,9,1
498,2013,16,+1 Lap,11,4
499,2013,16,+2 Laps,12,2
500,2013,16,Mechanical,26,1
501,2013,16,Alternator,91,1
502,2013,17,Finished,1,13
503,2013,17,Accident,3,1
504,2013,17,+1 Lap,11,6
505,2013,17,+2 Laps,12,2
506,2013,18,Finished,1,16
507,2013,18,Accident,3,1
508,2013,18,+1 Lap,11,4
509,2013,18,+2 Laps,12,1
510,2013,19,Finished,1,9
511,2013,19,Accident,3,1
512,2013,19,Engine,5,1
513,2013,19,+1 Lap,11,7
514,2013,19,+2 Laps,12,3
515,2013,19,Mechanical,26,1
516,2014,1,Finished,1,10
517,2014,1,Disqualified,2,1
518,2014,1,Collision,4,2
519,2014,1,Engine,5,2
520,2014,1,+1 Lap,11,2
521,2014,1,+2 Laps,12,1
522,2014,1,+8 Laps,18,1
523,2014,1,Oil pressure,51,1
524,2014,1,ERS,132,2
525,2014,2,Finished,1,8
526,2014,2,Engine,5,1
527,2014,2,Gearbox,6,1
528,2014,2,Electrical,10,1
529,2014,2,+1 Lap,11,5
530,2014,2,+2 Laps,12,2
531,2014,2,Brakes,23,1
532,2014,2,Technical,39,1
533,2014,2,Withdrew,54,1
534,2014,2,Power Unit,131,1
535,2014,3,Finished,1,15
536,2014,3,Collision,4,2
537,2014,3,Clutch,8,2
538,2014,3,+1 Lap,11,1
539,2014,3,Retired,31,2
540,2014,4,Finished,1,9
541,2014,4,Engine,5,1
542,2014,4,Gearbox,6,1
543,2014,4,+1 Lap,11,9
544,2014,4,+2 Laps,12,2
545,2014,5,Finished,1,6
546,2014,5,+1 Lap,11,11
547,2014,5,+2 Laps,12,3
548,2014,5,Brakes,23,1
549,2014,5,Exhaust,43,1
550,2014,6,Finished,1,4
551,2014,6,Accident,3,2
552,2014,6,Collision,4,1
553,2014,6,Engine,5,2
554,2014,6,+1 Lap,11,8
555,2014,6,+2 Laps,12,1
556,2014,6,+3 Laps,13,1
557,2014,6,Mechanical,26,1
558,2014,6,Withdrew,54,1
559,2014,6,Turbo,101,1
560,2014,7,Finished,1,10
561,2014,7,Collision,4,4
562,2014,7,+1 Lap,11,1
563,2014,7,Suspension,22,1
564,2014,7,Brakes,23,1
565,2014,7,Rear wing,65,1
566,2014,7,Drivetrain,79,1
567,2014,7,Turbo,101,1
568,2014,7,Power Unit,131,1
569,2014,7,ERS,132,1
570,2014,8,Finished,1,11
571,2014,8,Electrical,10,1
572,2014,8,+1 Lap,11,3
573,2014,8,+2 Laps,12,5
574,2014,8,Suspension,22,1
575,2014,8,Brakes,23,1
576,2014,9,Finished,1,9
577,2014,9,Collision,4,3
578,2014,9,Gearbox,6,1
579,2014,9,+1 Lap,11,5
580,2014,9,+2 Laps,12,2
581,2014,9,+3 Laps,13,1
582,2014,9,Suspension,22,1
583,2014,10,Finished,1,8
584,2014,10,Collision,4,1
585,2014,10,+1 Lap,11,7
586,2014,10,+2 Laps,12,3
587,2014,10,Brakes,23,1
588,2014,10,Oil leak,44,1
589,2014,10,Water leak,47,1
590,2014,11,Finished,1,13
591,2014,11,Accident,3,4
592,2014,11,+1 Lap,11,3
593,2014,11,Retired,31,2
594,2014,12,Finished,1,15
595,2014,12,Gearbox,6,1
596,2014,12,+1 Lap,11,2
597,2014,12,Mechanical,26,1
598,2014,12,Retired,31,2
599,2014,12,Power Unit,131,1
600,2014,13,Finished,1,13
601,2014,13,Accident,3,1
602,2014,13,Engine,5,1
603,2014,13,+1 Lap,11,5
604,2014,13,+2 Laps,12,2
605,2014,14,Finished,1,16
606,2014,14,Electrical,10,2
607,2014,14,+1 Lap,11,1
608,2014,14,Retired,31,1
609,2014,14,Water pressure,34,1
